0,1,2,3,4,5,6,7
-6503.843546371883,-6155.905116308346,-6452.456885869132,-6039.24018612387,-28183.53810114123,-40866.074367293644,-51023.60111756338,-111535.60716338243
-6520.383837268811,-6152.574706384505,-6451.406353879733,-6038.7037442569435,-28184.365115686076,-40870.63412316253,-51026.90917574277,-111538.80346283954
-6535.203043842679,-6145.388620542124,-6449.685269556674,-6043.107037914639,-28186.555586642695,-40877.49610871031,-51028.04911470999,-111543.27381173061
-6549.329346338433,-6144.047515874805,-6448.724144545096,-6042.838816981175,-28187.136731998533,-40879.66422792247,-51030.10547519988,-111544.95019256476
-6573.782154772539,-6132.849291902696,-6442.689173542163,-6040.424828580002,-28183.851025563603,-40879.41835873346,-51026.86447225386,-111543.18440475278
-6596.715044583684,-6133.07280934725,-6442.979746220082,-6042.5258925588005,-28186.10855175359,-40881.899402368,-51029.45727461067,-111545.5760414095
-6609.969629045681,-6126.713738049715,-6439.917557229705,-6040.983622191385,-28184.99096453082,-40882.14527155701,-51029.501978099586,-111545.06195128703
-6631.583765933963,-6127.674863061293,-6440.521054329998,-6043.732886759387,-28187.181435487444,-40883.10639656859,-51031.513635100564,-111546.53716642108
-6659.277577314088,-6121.673419675043,-6438.643507795752,-6040.067200668717,-28186.04149652022,-40881.251201778796,-51033.01120197907,-111544.61491639793
-6679.550609535052,-6118.912979234812,-6435.447208338644,-6038.793151234764,-28184.029839519244,-40875.81972787616,-51030.127826944336,-111540.34573320697
-6695.08507193149,-6115.739031522159,-6440.27518514099,-6038.368468090113,-28188.43313317694,-40876.66909416546,-51038.219158437154,-111541.9774105522
-6718.867328031937,-6118.2424269011535,-6439.068190940403,-6038.346116345659,-28188.38842968803,-40870.56706792916,-51037.01216423657,-111537.57411689451
-6748.058706290568,-6108.385307596363,-6439.023487451493,-6029.740694730365,-28186.466179664872,-40862.587495158616,-51040.47668462714,-111530.91329704682
-6774.925503125847,-6106.943620078995,-6437.9729554620935,-6028.578404018689,-28186.04149652022,-40854.049128776685,-51039.2473386821,-111524.18542196578
-6798.484241781741,-6101.433915070762,-6444.499664843043,-6022.789302204765,-28189.684830866438,-40848.41648917395,-51050.15498997629,-111520.29621843055
-6839.253823668221,-6099.567544408745,-6447.673612555696,-6022.923412671496,-28192.724668112358,-40840.32515768113,-51053.97713827815,-111513.90361951634
-6878.3917282094635,-6092.280875716315,-6456.9942899935595,-6014.966191645407,-28197.418534447974,-40831.92090176593,-51068.90810357429,-111507.22044792419
-6909.885336146991,-6082.725504961671,-6458.760077805528,-6008.864165409108,-28197.932624570447,-40817.4369713589,-51073.333748976445,-111493.87645648437
-6948.978537199323,-6077.841648798186,-6465.9126360312275,-6001.801014161231,-28200.458371693894,-40805.389381097484,-51082.16268803629,-111485.94158720275
-6987.110613240077,-6083.317826189736,-6466.382022664789,-6001.935124627963,-28200.0560402937,-40791.03956115718,-51077.021786811565,-111475.6597847533
